MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoCargoLowerBlue,autoCargoLowerFar,autoCargoLowerNear,autoCargoLowerRed,autoCargoPoints,autoCargoTotal,autoCargoUpperBlue,autoCargoUpperFar,autoCargoUpperNear,autoCargoUpperRed,autoPoints,autoTaxiPoints,cargoBonusRankingPoint,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,hangarBonusRankingPoint,matchCargoTotal,quintetAchieved,rp,taxiRobot1,taxiRobot2,taxiRobot3,techFoulCount,teleopCargoLowerBlue,teleopCargoLowerFar,teleopCargoLowerNear,teleopCargoLowerRed,teleopCargoPoints,teleopCargoTotal,teleopCargoUpperBlue,teleopCargoUpperFar,teleopCargoUpperNear,teleopCargoUpperRed,teleopPoints,totalPoints
2022miket_qm24,red,frc7784,frc5247,frc5234,19,26,0,1,0,0,0,2,1,0,0,0,0,6,4,false,6,Mid,None,None,1,0,false,7,false,0,No,Yes,Yes,0,2,0,1,2,7,6,1,0,0,0,13,19
2022miket_qm25,blue,frc5460,frc8193,frc5067,68,57,0,0,0,0,0,16,4,0,1,2,1,22,6,false,10,High,None,None,0,8,false,18,false,2,Yes,Yes,Yes,0,0,0,0,0,28,14,6,2,6,0,38,68
2022miket_qm25,red,frc1506,frc6548,frc7192,57,68,0,0,0,1,1,4,2,0,0,0,0,10,6,true,16,Mid,Mid,Low,2,0,true,20,false,2,Yes,Yes,Yes,0,0,1,3,1,31,18,2,5,4,2,47,57
2022miket_qm26,blue,frc5561,frc1322,frc8767,26,66,0,1,0,0,0,2,1,0,0,0,0,6,4,false,16,Mid,Mid,Low,0,0,true,3,false,1,Yes,Yes,No,0,0,0,0,0,4,2,0,0,1,1,20,26
2022miket_qm26,red,frc27,frc815,frc5114,66,26,0,0,0,0,0,24,6,0,1,2,3,28,4,true,6,Mid,None,None,0,0,false,23,true,3,Yes,No,Yes,0,1,1,0,0,32,17,1,4,5,5,38,66
2022miket_qm27,blue,frc3322,frc5538,frc6610,37,37,0,1,0,0,0,6,2,0,0,1,0,12,6,false,6,Mid,None,None,0,0,false,14,false,1,Yes,Yes,Yes,0,2,1,0,2,19,12,3,1,3,0,25,37
2022miket_qm27,red,frc5166,frc3542,frc2145,37,37,0,0,1,0,0,10,3,1,0,0,1,16,6,false,12,Mid,None,Mid,0,0,false,9,false,1,Yes,Yes,Yes,0,2,0,0,1,9,6,0,1,2,0,21,37
2022miket_qm28,blue,frc6091,frc3568,frc494,58,68,0,0,1,0,0,10,3,0,0,1,1,16,6,false,21,None,Mid,Traversal,1,0,true,17,false,1,Yes,Yes,Yes,0,1,1,2,3,21,14,1,2,2,2,42,58
2022miket_qm28,red,frc4377,frc5084,frc4994,68,58,0,1,0,1,0,4,2,0,0,0,0,10,6,true,36,Mid,Traversal,Traversal,0,4,true,20,false,4,Yes,Yes,Yes,0,6,6,5,1,18,18,0,0,0,0,54,68
2022miket_qm29,blue,frc5697,frc4998,frc7784,13,41,0,0,1,0,0,2,1,0,0,0,0,6,4,false,0,None,None,None,2,0,false,8,false,0,Yes,No,Yes,0,2,4,1,0,7,7,0,0,0,0,7,13
2022miket_qm29,red,frc6067,frc5641,frc5260,41,13,0,0,1,1,0,4,2,0,0,0,0,10,6,false,12,Mid,None,Mid,0,8,false,13,false,2,Yes,Yes,Yes,0,2,1,3,5,11,11,0,0,0,0,23,41
2022miket_qm3,blue,frc4377,frc5460,frc5247,59,32,0,0,0,0,0,8,2,2,0,0,0,10,2,true,10,None,High,None,0,4,false,23,false,3,No,Yes,No,0,2,2,2,1,35,21,4,6,1,3,45,59
2022miket_qm3,red,frc8193,frc6610,frc5166,32,59,0,1,0,0,0,14,4,2,0,0,1,16,2,false,10,Low,None,Mid,1,0,false,7,false,0,Yes,No,No,0,0,0,0,0,6,3,1,1,1,0,16,32
