Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc303,28.67,11.18,0.00,4.82,0.63,1.58,1.32,1.23,0.53,1.09,1.49,1.77,9.24,2.59,1.14,1.82,1.94,1.34,2.70,0.06,3.81,5.99,9.48,1.80,1.73,1.76,4.82,0.86,0.81,0.57,0.65,0.74,1.25,0.89,1.07,0.67,0.67,0.67,0.67,0.67,0.67,1.79,1.09,1.66,1.00,4.82,-0.02,20.04,0.12,0.77,0.10,0.97,28.67,
frc5401,36.84,27.70,0.00,5.16,0.91,1.68,1.20,0.15,-1.13,0.76,0.93,0.78,11.23,3.67,1.98,1.83,2.61,2.98,3.00,0.03,2.75,8.62,6.54,1.74,1.76,1.75,9.08,1.18,2.24,1.62,2.36,1.42,2.06,1.91,1.31,0.67,0.67,0.67,0.67,0.67,0.67,2.10,1.76,1.33,0.98,5.16,0.11,28.93,1.07,1.03,1.69,1.05,36.84,
frc2016,25.77,24.14,0.00,4.93,1.20,1.72,2.22,0.20,0.13,1.68,1.49,1.41,8.08,-2.15,-1.40,-0.16,1.65,2.22,3.19,0.35,2.79,7.07,11.49,1.66,1.75,1.72,2.90,1.14,0.94,1.06,1.36,-0.29,0.76,-0.15,0.38,0.67,0.67,0.67,0.67,0.67,0.67,1.89,0.92,2.11,0.75,4.93,0.00,18.05,-0.37,0.31,-0.32,-0.00,25.77,
frc316,26.28,17.30,0.00,5.33,1.79,1.78,1.17,0.82,0.26,1.50,0.85,0.63,10.27,1.00,1.70,-0.57,1.23,0.78,1.17,-0.10,2.01,3.21,1.31,1.80,1.77,1.76,5.46,0.90,1.61,0.35,2.03,1.17,-0.17,1.17,-0.17,0.67,0.67,0.67,0.67,0.67,0.67,1.30,1.52,2.18,0.46,5.33,-0.11,18.94,1.41,0.38,1.46,0.85,26.28,
frc4573,19.70,29.86,0.00,4.44,1.78,1.61,2.24,-0.38,1.23,1.61,1.73,2.10,8.87,0.77,-1.63,1.98,1.25,3.27,0.28,-0.14,0.28,4.56,5.70,1.32,1.68,1.32,1.55,-0.60,1.71,0.01,1.46,-0.79,0.82,-0.66,0.24,0.67,0.67,0.67,0.67,0.67,0.67,2.08,1.66,1.33,0.10,4.44,0.04,14.98,-0.56,0.46,-0.54,0.16,19.70,
frc5490,12.83,17.41,0.00,2.80,1.88,1.95,1.65,0.15,1.06,1.98,1.55,1.90,6.70,-1.41,-0.50,-0.90,0.60,-0.10,1.63,-0.22,0.06,1.87,-0.47,1.91,1.76,0.67,1.39,-0.19,0.29,-0.04,0.15,0.19,-0.33,-0.05,0.24,0.67,0.67,0.67,0.67,0.67,0.67,1.56,0.46,0.82,0.27,2.80,0.09,9.97,-0.07,-0.16,-0.12,-0.17,12.83,
frc7877,6.74,22.91,0.00,3.19,1.80,1.40,1.20,0.66,1.01,1.80,2.02,1.22,3.37,0.30,-1.66,2.10,0.57,1.63,-0.65,0.18,-0.09,1.58,-1.53,1.12,1.75,1.74,-1.31,-0.68,-0.59,-0.18,-0.78,-0.44,-0.48,-0.49,-0.22,0.67,0.67,0.67,0.67,0.67,0.67,0.55,1.74,0.93,-0.16,3.19,0.22,3.64,-0.61,0.25,-0.59,0.00,6.74,
frc1218,23.15,17.84,0.00,4.21,1.16,1.96,1.72,2.08,1.54,1.75,1.53,1.56,7.90,0.31,1.33,-0.72,3.94,2.42,2.83,0.06,-1.01,9.23,16.13,1.68,1.08,1.76,2.81,0.35,0.24,0.95,-0.42,0.47,-0.32,0.56,0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.76,2.61,1.05,1.01,4.21,-0.07,19.94,0.52,-0.37,0.32,-0.39,23.15,
frc5404,22.86,23.27,0.00,4.20,1.89,1.68,1.64,0.29,2.13,1.58,1.48,2.02,9.84,1.16,-0.82,-0.50,0.96,2.16,2.32,0.02,1.10,5.45,11.15,1.38,1.25,1.72,2.27,1.82,0.36,1.00,0.30,0.79,-0.31,0.98,-0.55,0.67,0.67,0.67,0.67,0.67,0.67,0.93,1.24,2.26,0.91,4.20,0.11,17.56,-0.27,-0.25,-0.26,-0.22,22.86,
frc708,22.85,24.71,0.00,5.55,0.30,0.21,1.33,1.12,0.86,-0.06,0.53,1.23,4.64,3.56,1.43,2.39,4.13,2.03,1.84,-0.06,-0.33,7.99,10.51,1.43,1.76,1.72,5.00,0.20,0.69,-0.09,1.48,0.04,1.04,-0.18,1.60,0.67,0.67,0.67,0.67,0.67,0.67,1.22,1.78,2.47,0.78,5.55,0.22,17.63,0.49,0.58,0.09,0.64,22.85,
frc7599,10.97,26.30,0.00,3.49,1.89,2.24,1.55,0.97,0.88,1.26,0.94,0.72,5.00,-2.68,-1.64,-1.05,-0.42,0.80,1.11,0.15,-0.30,1.47,0.32,0.89,1.52,1.70,1.30,1.27,0.15,0.56,0.63,-0.08,-0.63,-0.53,-0.95,0.67,0.67,0.67,0.67,0.67,0.67,2.00,1.59,1.92,-0.49,3.49,-0.05,7.77,-0.15,-0.33,-0.13,-0.09,10.97,
frc1391,25.93,12.32,0.00,5.67,2.24,1.77,1.54,1.05,1.01,1.57,1.31,1.88,9.36,0.99,1.56,-0.50,1.78,0.84,3.84,-0.26,0.03,6.46,10.57,1.86,1.74,1.70,4.40,-0.07,1.48,-0.49,0.98,0.66,0.40,0.58,0.38,0.67,0.67,0.67,0.67,0.67,0.67,1.72,1.70,1.81,1.31,5.67,0.05,20.23,0.76,-0.32,0.64,0.11,25.93,
frc1640,27.16,19.45,0.00,4.54,1.40,2.00,1.29,0.38,-0.42,0.73,1.56,1.35,9.71,3.12,1.23,-0.71,0.65,3.09,1.16,-0.25,1.84,4.89,8.76,1.34,1.72,1.65,6.18,2.55,0.08,2.54,-0.27,1.69,0.46,1.56,0.31,0.67,0.67,0.67,0.67,0.67,0.67,2.87,0.31,1.75,0.93,4.54,-0.01,20.78,0.94,0.05,1.09,0.08,27.16,
frc1089,23.45,22.99,0.00,5.92,0.83,-0.13,0.73,1.98,2.43,1.67,1.49,1.11,6.20,-1.56,-1.06,-0.39,2.38,1.22,2.05,0.26,0.50,5.71,8.91,1.85,1.61,1.88,5.13,0.06,1.56,0.03,0.94,0.26,0.70,0.63,0.54,0.67,0.67,0.67,0.67,0.67,0.67,1.85,2.07,1.63,0.62,5.92,0.04,17.04,-0.15,0.38,-0.19,0.26,23.45,
frc272,22.86,24.57,0.00,3.43,1.48,1.61,1.51,0.52,1.29,1.82,1.88,1.60,10.33,1.78,2.29,-0.15,1.71,2.09,1.68,-0.01,0.07,5.52,4.84,1.29,1.74,1.62,3.51,1.69,1.02,1.19,0.89,0.58,-0.04,0.34,0.12,0.67,0.67,0.67,0.67,0.67,0.67,1.32,1.81,0.78,0.39,3.43,-0.03,19.35,0.32,0.32,0.28,-0.12,22.86,
frc5624,18.63,26.57,0.00,4.09,1.55,1.69,1.47,0.46,1.76,1.35,1.06,1.09,6.53,-1.80,-1.17,-0.52,0.46,3.17,1.57,0.05,0.70,5.24,5.37,1.65,1.66,1.34,2.07,0.49,-0.39,0.43,-0.66,0.44,-0.04,0.20,0.16,0.67,0.67,0.67,0.67,0.67,0.67,1.74,1.29,1.32,0.32,4.09,0.13,13.84,0.11,0.34,0.10,0.44,18.63,
frc2590,31.03,14.95,0.00,5.47,1.71,1.59,1.88,1.84,2.11,1.39,1.77,1.66,13.00,3.65,4.67,-0.70,2.93,2.58,1.29,0.07,1.07,6.81,9.17,1.99,1.65,1.69,4.68,0.41,1.45,0.34,1.80,0.29,1.11,0.39,1.29,0.67,0.67,0.67,0.67,0.67,0.67,1.97,1.97,1.21,1.61,5.47,-0.11,24.49,0.70,-0.33,0.54,-0.24,31.03,
frc321,28.42,23.75,0.00,5.31,1.46,1.05,1.63,1.11,1.18,1.55,1.89,1.71,11.48,0.79,1.16,-0.39,2.53,2.22,1.52,0.38,0.30,6.30,8.62,1.62,1.77,1.78,5.03,0.11,1.91,-0.04,2.45,-0.04,1.50,0.39,1.24,0.67,0.67,0.67,0.67,0.67,0.67,0.69,2.44,1.99,0.70,5.31,0.06,22.81,0.28,0.31,0.34,0.67,28.42,
frc1807,35.80,19.19,0.00,3.90,1.31,-0.09,0.27,3.32,3.11,1.13,0.67,1.20,12.69,3.42,1.64,1.90,1.35,3.00,3.29,0.31,2.12,7.68,11.93,1.84,1.73,1.61,9.41,2.26,1.63,1.98,1.53,0.92,0.20,0.80,-0.04,0.67,0.67,0.67,0.67,0.67,0.67,1.24,1.47,1.06,1.60,3.90,0.05,29.78,0.49,0.69,0.75,0.68,35.80,
